facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Amuca SDA H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,pNHDdE8BJt8,Amuca SDA HC III,pNHDdE8BJt8,p4dNwikdLeC
Amudat Hospital,Hospital,Amudat Hub,Amudat,North East,\N,Amudat Hospital,gVSFfQXW1J2,yRnUCFiyeVf
Amugu H/C III,H/C III,Alebtong Hub    ,Alebtong,Mid Northern,acBVtDN7cmd,Amugu HC III,acBVtDN7cmd,FJQwpfeyHX6
Amuru H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,aFgrVHVDqoZ,Amuru HC III,aFgrVHVDqoZ,ET6LAMCSXXB
Anaka Hospital,Hospital,Anaka Hub   ,Nwoya,Mid Northern,PgRLMNQdejC,Anaka Hospital,PgRLMNQdejC,Kp7fNGqEk4U
Anyara H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Anyara HC III,ZOAvFhJT2vI,AKZCpX1J0jW
Anyeke H/C IV,H/C IV,Aber Hub    ,Oyam,Mid Northern,EYklRtOZrwz,Anyeke HC IV,EYklRtOZrwz,ykOrO1ME2K2
Apac Hospital ,Hospital,Apac Hub    ,Apac,Mid Northern,\N,Apac Hospital,OeBKA5gCBXG,yzcifUtnKpI
Apalabarowo H/C III,H/C III,Lira Hub   ,Kole,Mid Northern,vt2z3wXqBGE,Apalabarowo HC III,vt2z3wXqBGE,TifDKPR40nA
Apala H/C III,H/C III,Alebtong Hub    ,Alebtong,Mid Northern,AKNaO98uuZO,Apala HC III,AKNaO98uuZO,jgVosSUbgNT
Apoi H/C III,H/C III,Apac Hub    ,Apac,Mid Northern,x6tiiRt28yz,Apoi HC III,x6tiiRt28yz,Qduro55Xpa3
Aputi H/C III,H/C III,Amolatar Hub   ,Amolatar,Mid Northern,XQqrn8K8jyL,Aputi HC III,XQqrn8K8jyL,ffLu04kozwB
Ariwa H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,\N,Ariwa HC III,hcm0msXFRQJ,ecodWOQCfv1
Aromo H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,SvBwj5ZrWMx,Aromo HC III,SvBwj5ZrWMx,EOEgnCtfNWm
Arua R R Hospital,Regional Referral Hospital,Arua Hub   ,Arua,West Nile,THGKB3lHEUx,Arua REGIONAL REF HOSPITAL,THGKB3lHEUx,MlAm6rXGeLM
Atanga H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,SF33CGHTeUn,Atanga HC III,SF33CGHTeUn,iqUKWKXr8cn
Atiak H/C IV ,H/C IV,Atiak Hub   ,Amuru,Mid Northern,\N,Atiak HC IV,i5CDWEBfo9n,CumVVbDM1Uz
Atutur Hospital,Hospital,Atutur Hub  ,Kumi,North East,\N,Atutur Hospital,aOoSM1O7H9D,Zya1Ipue2uU
Awach H/C IV ,H/C IV,Gulu Hub   ,Gulu,Mid Northern,\N,Awach HC IV,Z1dfGmIoSeF,NRU3d59Us3F
Awere H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,\N,Awere HC III,arbBXd1KN8n,hqxQ4fREk8R
Aywee H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,aE0Yzd3YZQ9,Aywee HC III,aE0Yzd3YZQ9,inq4n87iRzr
Baitambogwe H/C III,H/C III,Kigandalo hub   ,Mayuge,East Central,dBJMmXzJwYi,Baitambogwe HC III,dBJMmXzJwYi,OOr9HB786Xt
Bala H/C III,H/C III,Lira Hub   ,Kole,Mid Northern,rEncXrvkJ3Z,Bala HC III,rEncXrvkJ3Z,SXQ8jh8XUy3
Barapwo H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,\N,Barapwo HC III,amDpMeSgs3P,S7a6qapMozv
Barr H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,CpZY2oCsE5i,Barr HC III,CpZY2oCsE5i,VZ1UouOOiy4
Bata H/C III,H/C III,Dokolo Hub  ,Dokolo,Mid Northern,NunHrloqul7,Bata HC III,NunHrloqul7,bKXIXziiF1p
Bibia H/C III,H/C III,Atiak Hub   ,Amuru,Mid Northern,N00TPmBoIls,Bibia HC III,N00TPmBoIls,rHlvnzNRaPU
Biddabugya H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,YTCehe1KMvF,Bidabugya HC III,YTCehe1KMvF,vWwRAysX3Ac
Bigodi H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Bigodi HC III,d3ugFJbENWb,wu82soMMe0d
Bihanga H/C III (Buhweju),H/C III,Bushenyi Hub   ,Buhweju,South Western,Fi6rNyCYxsL,Bihanga HC III,Fi6rNyCYxsL,iZXuEKE5vbO
Binyiny H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Binyiny HC III,aVlOVOmBP2K,BOTgBQkc0Ji
Bisheshe H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,\N,Bisheshe HC III,iChSz9sMebA,CG3rQIXK2nu
Bitereko H/C III,H/C III,kitagata Hub   ,Mitooma,South Western,aumCjLAHfAL,Bitereko HC III,aumCjLAHfAL,ADmepuna2Fa
Bobi H/C III,H/C III,Lalogi Hub    ,Omoro,Mid Northern,\N,Bobi HC III,bah36yY0P6q,bIaA9cDp4Na
Boroboro H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,aHYpuUgnA4P,Boroboro HC III,aHYpuUgnA4P,lPeHWYVBQKZ
Bubaare H/C III (Mbarara),H/C III,Mbarara Hub   ,Mbarara,South Western,uwXTH0M0m4p,Bubaare HC III,uwXTH0M0m4p,nRE4GGhkrox
Bubulo H/C IV,H/C IV,Tororo Hub   ,Manafwa,Mid Eastern,oIYkOMu6tdP,Bubulo HC IV,oIYkOMu6tdP,shOHkzLB8Y4
Budadiri H/C IV,H/C IV,Budadiri Hub     ,Sironko,Mid Eastern,\N,Budadiri HC IV,pTrRXtAg5IR,ZmhLClKUDUA
Budaka H/C IV,H/C IV,Mbale Hub   ,Budaka,Mid Eastern,aXPAwDqt65Q,Budaka HC IV,aXPAwDqt65Q,ziQDfiiWSZI
Budondo H/C IV,H/C IV,Jinja Hub   ,Jinja,East Central,BTNeWyNJanq,Budondo HC IV,BTNeWyNJanq,nsI1Nehj8US
Bududa Hospital,Hospital,Bududa Hub    ,Bududa,Mid Eastern,\N,Bududa Hospital,xVmiaKB3dHI,I8kWvjCg9Do
Budumba H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Budumba HC III,BjDvpnOuxT0,DY9CVVVTTSH
Bufumbo H/C IV,H/C IV,Mbale Hub   ,Mbale,Mid Eastern,zH1tLSpZuGt,Bufumbo HC IV,zH1tLSpZuGt,FkAO4Pg1lFI
Bufunda H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,\N,Bufunda HC III,Wmc36bI5m96,MJRMkfdgnqE
Bugalo H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Bugalo HC III,Symjhaye4Gp,HS78Gjx0xAi
Bugamba H/C IV,H/C IV,Mbarara Hub   ,Mbarara,South Western,\N,Bugamba HC IV,cTp1LWth7hI,nRJN7agnIcq
Bugambe H/C II (Hoima),H/C II,Hoima Hub   ,Kikuube,Mid Western,CRKrLT3w8EQ,Bugambe HC III,CRKrLT3w8EQ,PgJGgy5YgJ4
Bugembe H/C  IV,H/C IV,Jinja Hub   ,Jinja,East Central,MmVUt93uiqa,Bugembe HC IV,MmVUt93uiqa,UcTMhQuHXvq
Bugiri Hospital,Hospital,Bugiri Hub   ,Bugiri,East Central,CNG62dd4mE1,Bugiri Hospital,CNG62dd4mE1,ZOJQfHV3ghe
Bugobero H/C IV,H/C IV,Tororo Hub   ,Manafwa,Mid Eastern,RTB3ZNoIDhd,Bugobero HC IV,RTB3ZNoIDhd,CvOuua0WPHo
Bugono H/C IV,H/C IV,Iganga Hub    ,Iganga,East Central,JkMbi1FzXrX,Bugono HC IV,JkMbi1FzXrX,f703AwaP3Hp
Bugoye H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Bugoye HC III,aKmOqqxiDuQ,gWAKlqPh4Z3
Buhehe H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Buhehe HC III,YWRtcUXBxrt,DHEoxjVOZ2d
Buhimba H/C III,H/C III,Hoima Hub   ,Kikuube,Mid Western,\N,Buhimba HC III,a0NjFSCY24s,aChFc3tKezH
