facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Moyo Mission H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Moyo Mission HC III,EZA6XG2Eqra,imLr0b3hMUo
Kalonga H/C III,H/C III,Mubende Hub    ,Mubende,Central 2,YaUCgS8WMMW,Kalonga HC III,YaUCgS8WMMW,sAUXjL3pGm5
Myanzi H/C III (Mubende),H/C III,kassanda Hub   ,Mubende,Central 2,ausfaeGjscI,Myanzi HC III,ausfaeGjscI,nf85vjzRxY6
Kira H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,I2O4ZRrmyQN,Kira HC III,I2O4ZRrmyQN,E6fFtxCcuVU
Nabiswera H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,aRE0Ejk5hdp,Nabiswera HC III,aRE0Ejk5hdp,fuUOQJ5B6hv
Wabigalo H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,QxjjT8pu7tx,Wabigalo HC III,QxjjT8pu7tx,jvUAVsr9qbS
Ediofe H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Ediofe HC III,sJUxokN1Svo,zN58u0OJPSv
Ogoko H/C II,H/C II,Rhino Camp Hub  ,Arua,West Nile,avy7joRGT2x,Ogoko HC II,#N/A,BYwtLQLdhVg
Nyamarwa H/C III (Kibaale),H/C III,Kakindo Hub   ,Kibaale,Mid Western,Q6MT6wA0bBm,Nyamarwa HC III,Q6MT6wA0bBm,WaR4y2i3Yqv
Isunga H/C III,H/C III,Kagadi Hub   ,Kagadi,Mid Western,\N,Isunga HC III,v7vSvHb7QUU,ahBZH8QTNfO
Buseruka H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,ccVG52jNm8D,Buseruka HC III,ccVG52jNm8D,mIB14JIBX6t
Kaseeta H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,k38SanlZHyl,Kaseeta HC II,k38SanlZHyl,kZpNHz3rytx
Otuboi H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Otuboi HC III,qidhLTyAErV,DBXXIf69q24
Alwa H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Alwa HC III,VEc0XL8e8Sa,HWBdFHkiTIl
Kiyuni H/C III (Kyankwanzi),H/C III,Ntwetwe Hub    ,Kyankwanzi,Central 2,GjiT4Fcwj6P,Kyankwanzi Kiyuni HC III,GjiT4Fcwj6P,kaCYZXHRbrC
Waibuga H/C III,H/C III,Iganga Hub    ,Luuka,East Central,aA2zaYJW1YT,Waibuga HC III,aA2zaYJW1YT,ikUKTLYTEZ5
Kyaayi H/C III,H/C III,Maddu Hub    ,Gomba,Central 1,tPiPaWz3TIK,Kyai HC III,tPiPaWz3TIK,zis9RAwGqfp
Minakulu H/C III (Oyam),H/C III,Aber Hub    ,Oyam,Mid Northern,TG4nYtwDBTr,Minakulu Gvt HC II,#N/A,dBGpTN5GVNb
Lokopo H/C III,H/C III,Matany Hub   ,Napak,North East,\N,Lokopo HC III,QKGsjJojbYP,w6awCJZfdJR
Ober H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,hdrTrRDuwOU,Ober HC III,hdrTrRDuwOU,h5Jk6bVs2t1
Kibalinga H/C III,H/C III,Mubende Hub    ,Mubende,Central 2,\N,Kibalinga HC III,M5caUvrHw5q,CAy7Tc7sbCs
Kyamusisi H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,\N,Kyamusisi HC III,KLRFW0OxcyN,I6V6Oq5ukdS
Asamuk H/C III,H/C III,Amuria Hub   ,Amuria,North East,\N,Asamuk HC III,Sj7ljAIcmjq,p2CXOnyQaqt
Lukaya H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,IDk3QfceRQG,Lukaya HC III,IDk3QfceRQG,idmCVO3KpnF
Kyondo H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,\N,Kyondo HC III,aDb2aA9qRxt,wsRQiOWItcQ
Kanamba H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Kanamba HC III,aXspFLZSsut,BPsKeZmt3pR
Karusandara H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Karusandara HC III,XOOHZdLmPvN,c8DXFJTjUta
Maliba H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Maliba HC III,Nre05wUvCJL,lzPg93KcSZ0
Isule H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Isule HC III,dtVDXhCkmL8,BKzxQobOQOe
Hima Cement Clinic,H/C IV,Kilembe Mines Hub   ,Kasese,Mid Western,FAjgEVpPiLO,Hima Star Clinic,#N/A,lAiqq0HErxR
Kapedo H/C III,H/C III,Kaabong Hub   ,Kaabong ,North East,\N,Kapedo HC III,U1aETxtSI4A,svfGYkuDiTo
Nyabubare H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,ci2uaeBv4Jg,Nyabubare HC III,ci2uaeBv4Jg,pSG02paXWD1
Kyotera Medical Centre,Special Clinic,Rakai Hub   ,Rakai,Central 1,io8JhubppQo,Kyotera Med. Centre HC II,io8JhubppQo,m6kztYu5iMs
Tapac H/C III,H/C III,Moroto Hub  ,Moroto,North East,\N,Tapac HC III,JhfRRK4kn7c,QZDVew8tSMp
Wabwoko H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,a7fC0KrYZzK,Wabwoko HC III,a7fC0KrYZzK,OJYTkMJnUME
Merikit H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,rxu4zvH3DC1,Merikit HC III,rxu4zvH3DC1,K9lbA0eAB8z
Kikamulo H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,Q5qLPWNEj41,Kikamulo HC III,Q5qLPWNEj41,GC0j0syAth3
Wakyato H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,eQXTs1XHYpK,Wakyato HC III,eQXTs1XHYpK,eGIFne57GMP
Ngoma H/C IV (Nakaseke),H/C IV,Ngoma Hub   ,Nakaseke,Central 2,aFvqMkkSctS,Ngoma HC III,#N/A,QcYWRRL8S8T
Kinyogoga H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,\N,Kinyogoga HC III,q68Rl47iAKF,ZCTPwpSO2Cz
Makulubita H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Makulubita HC III,xjHpvNlTb1J,srQkriGfZFh
Nakatonya H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Nakatonya HC III,olEYjGeLyZf,wlBvuxmDY3a
Bukalasa H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Bukalasa HC III,va7uRTbKCoJ,HfyUqXG8CSe
Nawanyago H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,tbeQC8kTgVd,Nawanyago HC III,tbeQC8kTgVd,ljXjOGl4GyM
Wesunire H/C III,H/C III,Kidera Hub   ,Buyende ,East Central,KaQgUo68H9v,Wesunire Cath. HC II,KaQgUo68H9v,Hoj3GOuXVBp
Aripea H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Aripea HC III,QF2BTAZ1r3Z,TgQfIIJqTlx
Cilio H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Cilio HC III,v6DcAuQeoeA,nru5ssbQ5lG
Inde H/C III,H/C III,Rhino Camp Hub  ,Arua,West Nile,\N,Inde HC III,amS3L4P6obf,N0nEEU5R4WZ
Kyamuhunga H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,aerTdJxlEQh,Kyamuhunga HC III,aerTdJxlEQh,YrORDDqTqMc
Alwi H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Alwi HC III,KLEPRYA9Nge,rpHkxAx4gf7
Kalungi H/C III (Nakasongola),H/C III,Nakasongola Hub   ,Nakasongola,Central 2,wgSmdZGeb5I,Kalungi HC III,wgSmdZGeb5I,k8r0eYnZMps
Nakapelimoru H/C III,H/C III,Kotido Hub  ,Kotido,North East,\N,Nakapelimoru HC III,aywOCuiSQrR,Ueo2Xtlgsuk
Bweyogerere H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,cmB5Q4tejGP,Bweyogerere HC III,cmB5Q4tejGP,u9wHEo5hFf3
Kakanju H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,VV5c8F4HVjw,Kakanju HC III,VV5c8F4HVjw,hPbZKtP44mO
Bugongi H/C III,H/C III,kitagata Hub   ,Sheema,South Western,\N,Bugongi HC III,RrvmrGFqy38,sl6biuoGIdH
Kawongo H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,xFu5BXdkrZj,Kawongo HC III,xFu5BXdkrZj,u4UOGx0gYia
Lulagala H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,\N,Lulagala HC III,f5lLaEQlPzM,xm5c4iEtWkb
Kabira H/C III (Mitooma),H/C III,kitagata Hub   ,Mitooma,South Western,RKTrEW3Vw7X,Mitooma Kabira HC III GOVT,RKTrEW3Vw7X,yzCsmWl1hiz
Mirambi H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,RWEo3tF0K1h,Mirambi HC III,RWEo3tF0K1h,etdtfYuZNGf
Ikoba H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,I9E4CMmLVbn,Ikoba HC III,I9E4CMmLVbn,bX5cKRMoPqi
Bushika H/C III,H/C III,Bududa Hub    ,Bududa,Mid Eastern,J3KJzX1JSXu,Bushika HC III,J3KJzX1JSXu,Jf3ct0tRN9L
Kyabasaija H/C III,H/C III,Kakindo Hub   ,Kakumiro,Mid Western,\N,Kyabasaija HC III,wTumxHRbaIc,QOBDYPILuxh
Soroti H/C III,H/C III,Soroti Hub   ,Soroti,North East,cY2kQBkzz17,Soroti HC III,cY2kQBkzz17,kvM6LpDa8jt
Mazinga H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,\N,Mazinga HC III,vM7d3ZWWl42,PAnPzobOjOO
Bulika H/C II,H/C II,Kayunga Hub  ,Mukono ,Central 2,x4zVP4YLDy7,Bulika HC II,x4zVP4YLDy7,UBwuh9ryZ85
Orussi H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Orussi HC III,X8wfR21inSS,kNuYermDhUF
Magala H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,WqoBdlGeBgn,Magala HC III,WqoBdlGeBgn,Ig7Z25gHoKa
Biharwe H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,hAdnePvF54E,Biharwe (Nyabuhama) HC III,hAdnePvF54E,P2qeKWcnf8l
Kakoba Division H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,WjUTld3U8r2,Kakoba Domiciliary Clinic,#N/A,bglfeeSCjnR
Rubindi H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,kw2BNLtK1FZ,Rubindi HC III,kw2BNLtK1FZ,CcZXIIS07Xx
Mwizi H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,aekCLvuNCrj,Mwizi HC III,aekCLvuNCrj,pIWtJHHkKw3
Mulabana H/C II,H/C II,Kalangala Hub    ,Kalangala,Central 1,\N,Mulabana HC II,BUPmAz8RgAa,Fe3Z8vPEJc3
Kiti H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,\N,Kiti HC III,a5lQTv6RKkm,qB6iLAwlKfP
Openzinzi H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Openzinzi HC III,SydoosT4IoO,AfPPiLXG79n
Emesco H/C IV,H/C IV,Kakindo Hub   ,Kibaale,Mid Western,qXpKvhiylZz,EMESCO HC III,qXpKvhiylZz,QXmb6eqTXL5
St Matia Mulumba H/C III (Mubende),H/C III,kassanda Hub   ,Mubende,Central 2,Ae8byorr2lF,St. Matia Mulumba HC III,Ae8byorr2lF,cAQdeE1CgzV
Lunyo H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Lunyo HC III,RkPKHtihwLz,MRjC9NsaDyA
Katulikire H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,auWHq0LQsFf,Katulikire HC III,auWHq0LQsFf,HBLZzKpn7e3
Puranga H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,flJx2pns0FY,Puranga HC III,flJx2pns0FY,nFrTnd3iPyq
Ntenjeru H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,xKKIcgLVH9x,Ntenjeru HC III,xKKIcgLVH9x,UkoDfnowQP4
Maaji A H/C II,H/C II,Adjumani Hub   ,Adjumani,West Nile,Lq5bORbEZDi,Maaji A HC II,#N/A,FP9HAaWObJi
Engari Community H/C III,Special Clinic,Rushere Hub   ,Kazo,South Western,toGKbXMtRf8,Engari Community HC III,toGKbXMtRf8,NriYp7R44xf
Buteba H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,aJgUSQQuIsM,Buteba HC III,aJgUSQQuIsM,IeBVhMMrDNG
Katovu H/C III,H/C III,Lwengo Hub    ,Lwengo,Central 1,qp3zotdBH8Y,Katovu HC III,qp3zotdBH8Y,lnMK1yOGVHH
Kapujan H/C III,H/C III,Katakwi Hub   ,Katakwi ,North East,\N,Kapujan HC III,uRzFsC6osk8,HLnTrdeimcL
Okwang H/C III,H/C III,Lira Hub   ,Otuke,Mid Northern,jmYDcub8QTz,Okwang HC III,jmYDcub8QTz,ONR3G2HP4uU
Kashambya H/C III,H/C III,Kabale Hub   ,Rukiga,South Western,jtrHsubBsqd,Kashambya HC III,jtrHsubBsqd,dPPAdYK4c97
Nyakagyeme H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Nyakagyeme HC III,kLgmLxMJP9O,F84uqSUm6Ec
Kibirizi H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Kibirizi HC III,JzvyKeN1NIO,scwF1DSNR71
Kagongi H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,XQCqKzjyAZg,Kagongi HC III,XQCqKzjyAZg,Yf9lHlencrP
Ndeija H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,w710lzfn4pu,Ndeija HC III,w710lzfn4pu,GkbRCsVgbZR
Kaharo H/C III,H/C III,Kabale Hub   ,Kabale,South Western,\N,Kaharo HC III,kx0KBt6s0UP,tfHEPiFdlmT
Namaggwa Clinic,Special Clinic,Luweero Hub    ,Luweero,Central 2,\N,Namaggwa Clinic,NpcBxAVF2tf,Yp6HgHpdbR9
Mudakori H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,ezl9nwYbSdn,Mudakor HC III,ezl9nwYbSdn,siwbsbAey5X
Metu H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Metu HC III,aoYoN1wkWDw,TgW727zXHri
Kyenjojo Hospital,Hospital,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Kyenjojo Hospital,DVWgXBCqWXD,icTyAM36CIh
Kisozi H/C III,H/C III,Maddu Hub    ,Gomba,Central 1,KNuyUySHocg,Kisozi HC III GOVT,KNuyUySHocg,XC7vaINMt54
Bufunjo H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Bufunjo HC III,W4WTbuj52ZD,hx3bU1BxaI1
Bukanga H/C III,H/C III,Iganga Hub    ,Luuka,East Central,edqx4oFg95R,Bukanga HC III,edqx4oFg95R,XS8gxFj6uho
Aakum H/C II,H/C II,Katakwi Hub   ,Katakwi ,North East,\N,Aakum HC II,J2JiemiIQvD,TZyb3QDHAAa
Kobulubulu H/C III ,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Kobulubulu HC III,UMzvOsVEnNH,lVkq0HYMZMu
Ndama H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Ndama HC III,ba44JvPeYSn,vaqHAUU0w1h
Kibibi Nursing Home H/C III,H/C III,Gombe Hub   ,Butambala,Central 1,\N,Kibibi Nursing Home HC III,gr1CRYxuJmr,f5ShgEMON0P
Butende H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,S79Lcu8O003,Butende HC III,S79Lcu8O003,pmemdZhAK3n
Buwunga H/C III (Bugiri),H/C III,Bugiri Hub   ,Bugiri,East Central,yJNtR9S3CZZ,Bugiri Buwunga HC III GOVT,yJNtR9S3CZZ,Cqdmnt37pUI
Kameke H/C III,H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Kameke HC III,A5sNBoMutHJ,Gy7r2rA7R2D
Muramba H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Muramba HC III,YItBJnkJB9J,ALjGjXb8G2h
Kinanira H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Kinanira HC III,nNZGVgL6la6,cuXx2knmDfQ
Nyarusiza H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,Pgi000QNqrV,Nyarusiza HC III,Pgi000QNqrV,MVz4ds9W7JN
Kasozi H/C III (Wakiso),H/C III,Wakiso Hub  ,Wakiso,Central 1,ZDdH3JVg9pD,Wakiso Kasozi HC III GOVT,ZDdH3JVg9pD,Fk5XukZKLeN
Busowobi H/C III,H/C III,Iganga Hub    ,Iganga,East Central,fqWdsy0CuFR,Busowobi HC III,fqWdsy0CuFR,eevD25w5PU9
Rugyeyo H/C III,H/C III,Kanungu Hub   ,Kanungu,South Western,\N,Rugyeyo HC III,IdRkJotD2zZ,klMWdT9xjkz
Bugangari H/C IV,H/C IV,Nyakibale Hub   ,Rukungiri,South Western,aG2h9UI08nA,Bugangari HC IV,aG2h9UI08nA,rWS5425j0Sf
Mushanga H/C III,H/C III,kitagata Hub   ,Sheema,South Western,\N,Mushanga HC III,ppt2wpU7IP6,Mu155BvrWoX
Buwooya H/C III,H/C III,Buvuma Hub,Buvuma,Central 2,AIl1p6YgqxA,Buwooya HC II,AIl1p6YgqxA,rHJR9VnhkoY
Bison H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,aZep2aolzmX,Bison HC III,aZep2aolzmX,dHrzkuEkcjk
Bufundi H/C III,H/C III,Kabale Hub   ,Rubanda,South Western,\N,Bufundi HC III,l9dGMGtxEOi,QFU8LWX4UPA
Bwambara H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,ACeIX77jOBg,Bwambara HC III,ACeIX77jOBg,SAllquBmvY7
Butanda H/C III,H/C III,Kabale Hub   ,Kabale,South Western,\N,Butanda HC III,ktaPwuDxHca,ZSaRorr0ZNd
Kiyeyi H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,ZeXBMNmaaI1,Kiyeyi HC III,ZeXBMNmaaI1,gQV0bSDmS5N
MJAP-MMC  H/C IV,H/C IV,Mbarara Hub   ,Mbarara,South Western,pCasaBs63nR,Mbarara Municipal Council HC IV,pCasaBs63nR,sJxTgt5GP2X
Pakadha H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Pakadha HC III,M85HoV8pnUM,yZhKgvCGlAq
Offaka H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Offaka HC III,gkUm0zE8vDx,ZFx2v6VPhah
Kanyamwirima H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,ZqwV5PWv4Pt,Kanyamwirima Army HC III,ZqwV5PWv4Pt,lfwIXJBCDmD
Buhanika H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,pefIQOO4szC,Buhanika HC III,pefIQOO4szC,zFjGx6A5dUq
Namatala H/C IV,H/C IV,Mbale Hub   ,Mbale,Mid Eastern,mAVOIO9mDPJ,Namatala HC IV,mAVOIO9mDPJ,dx0D9Q5I9ZF
Kabugu H/C II,H/C II,Rwekubo Hub   ,Isingiro,South Western,\N,Kabugu HC II,aKzFgKWqIPv,Q4q4kIe41sU
Sanga H/C III,H/C III,Rushere Hub   ,Kiruhura,South Western,\N,Sanga HC III,t6jiPqaeBe2,lDVME4ZFMS1
Kashongi H/C III,H/C III,Rushere Hub   ,Kiruhura,South Western,h2IH7DjeJ21,Kashongi HC III,h2IH7DjeJ21,EgW2G6Cu0m9
Iremera H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Iremera HC III,j1c8wmQO6d7,XftkBor5aZE
Gasovu H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Gasovu HC III,TEmxmKVJJPa,OplWf3JL9Ni
Hope Clinic Lukuli,Special Clinic,Kampala Hub,Kampala,Kampala,Ap53MmxflW6,Hope Clinic Lukuli HC II,Ap53MmxflW6,mbBEchskQ4d
Hope Again Medical Centre (Kyenjojo),Special Clinic,Kyenjojo Hub   ,Kyenjojo,Mid Western,aLF9fK0AtT7,Hope Again Medical Centre HC III,#N/A,o5XDtZV7eqi
Bujumbura H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,\N,Bujumbura HC III,DyxRfkwicX2,PjrpFpC0NfO
Nyakayojo H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,fvak0fciiOr,Nyakayojo HC III,fvak0fciiOr,pspfocViPDG
Nsambya Home Care,Special Clinic,Kampala Hub,Kampala,Kampala,isXZREUsgiH,Nsambya Home Care Clinic,#N/A,Xo0030ODw8L
Wandi H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Wandi HC III,DVPFLWaZInR,TiHDtN1HCRm
Kasambya H/C III (Kalungu),H/C III,Butenga Hub   ,Kalungu,Central 1,MLgsYoX2xWW,Kalungu Kasambya HC III GOVT,MLgsYoX2xWW,yyLNFFXVdJP
Opia H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Opia HC III,EBlM7SeLR4c,ugGSdgLKcUd
Burombe H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Burombe HC III,aHPLLEMdB4o,GHNLztCiiqL
Busaru H/C IV,H/C IV,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Busaru HC IV,xpfoySoqqeO,DbgRTY8v1KG
Tegeres H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Tegeres HC III,OVHn5EkIqik,x29FrIi8ywE
Lubya H/C II,H/C II,Buvuma Hub,Buvuma,Central 2,aZjBV5O7kkf,Lubya HC II,aZjBV5O7kkf,ZgtzDxWZVoe
Katwe H/C III (Kiboga),H/C III,Kiboga Hub   ,Kiboga,Central 2,FHtJEqFHwS4,Kiboga Katwe HC III GOVT,FHtJEqFHwS4,j1FJWRSITT1
Bwikara H/C III,H/C III,Kagadi Hub   ,Kagadi,Mid Western,\N,Bwikara HC III,NQaX9PnpOiB,Z8iiuzE8Exc
St Jacinta H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,sRkrARaYj0F,St. Jacinta Zigoti HC III,sRkrARaYj0F,xjXsq56rvE4
Ntandi H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Ntandi HC III,FtUWKxVeXby,wf124ymNU9H
Lolachat H/C III,H/C III,Tokora Hub    ,Nakapiripirit,North East,\N,Lolachat HC III,a82qNO5mmYT,DHhGawmP1RI
Kyanamira H/C III,H/C III,Kabale Hub   ,Kabale,South Western,\N,Kyanamira HC III,bVZDLfQXL5H,OsQTnv3iHrp
Aketa H/C III,H/C III,Katakwi Hub   ,Katakwi ,North East,\N,Aketa HC III,fFMFDu21aWq,dtWeyHHgF33
Nkokonjeru  H/C III (Kayunga),H/C III,Kayunga Hub  ,Kayunga,Central 2,MnlhBeOd2dx,Nkokonjeru HC III,MnlhBeOd2dx,eUdLwhGOLGP
Nakifuma H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,bAh0tns9mFX,Nakifuma HC III,bAh0tns9mFX,cHIu8DgH8si
Kimenyedde H/C II,H/C II,Mukono Hub ,Mukono ,Central 2,gK0T4N1aFZu,Kimmenyedde HC II,gK0T4N1aFZu,ejsHc6Gw84j
Burere H/C III,H/C III,Bushenyi Hub   ,Buhweju,South Western,bYYKbpHb8Y7,Burere HC III,bYYKbpHb8Y7,WgUrZHEa7ls
Bileafe H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Bileafe HC III,VUB4COm63ZQ,Zn2qbPoYhGU
Mukabara H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,QCufWVvV6cj,Mukabara HC III,QCufWVvV6cj,sDohOHxALQB
Kamod H/C II,H/C II,Serere Hub   ,Serere,North East,\N,Kamod HC II,lwOFIJ6tbNa,aWBci6S18MD
Kanywambogo H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,\N,Kanywambogo HC III,aDcEum2g6mY,waqPAD7tTI5
Magoro H/C III,H/C III,Katakwi Hub   ,Katakwi ,North East,\N,Magoro HC III,VZvZyX8jBB4,JdNutPDfjjG
PNC (Baylor-Mulago),Special Clinic,Kampala Hub,Kampala,Kampala,mS4KHqXpvDB,Mulago National Hospital- Old Mulago Pos,#N/A,HgZwOFOh9ae
Kasaali H/C III,H/C III,Rakai Hub   ,Kyotera,Central 1,ZLJUYEZegpQ,Kasaali HC III,ZLJUYEZegpQ,GL2J0KmJ1Si
Mutukula H/C III,H/C III,Rakai Hub   ,Kyotera,Central 1,X7iYabwpJfR,Mutukula HC III,X7iYabwpJfR,joZpGFvgqbw
Kichinjaji  H/C  III,H/C III,Soroti Hub   ,Soroti,North East,\N,Kichinjaji HC III,CxzGSxEbecK,KEQEd83csYv
Kagano  H/C   III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Kagano HC III,zAPmrjVeufo,MwpQzr9eJLL
Apopong  H/C  III,H/C II,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Apopong HC III,DE5VuZb0Xei,aO9w9uooSzS
Acowa  H/C  III,H/C III,Amuria Hub   ,Amuria,North East,\N,Acowa HC III,krIH36G6xhy,iixSIjB4mXl
Rugarama H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Rugarama HC III,Ab89aosJCg9,zZdu3SiPNYG
Anyiribu H/C III  ,H/C III,Arua Hub   ,Arua,West Nile,\N,Anyiribu HC III,FKuNaclJDeD,qKGuHHXxjNO
Kikatsi H/C III,H/C III,Rushere Hub   ,Kiruhura,South Western,\N,Kikatsi HC III,aTA0Oqfza5z,nOhXx4pfDLh
Ntungu H/C II,H/C II,Rwekubo Hub   ,Isingiro,South Western,\N,Ntungu HC II,ar4RR2FBfKU,lYjcwhAKAb5
Rackoko H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,\N,Rackoko HC III,tGCoh0Vsdhj,MiWiMc2PjTw
Bondo H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Bondo HC III,aLKBDY8KNaI,IgXOuGH4pTc
Kabarwa   H/C  III,H/C III,Atutur Hub  ,Bukedea,North East,\N,Kabarwa HC III,aowpXPkRtAt,dlOU8o4dm7B
Kikokwa  H/C   III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Kikokwa HC III,HRUwvJnV3yt,MA7rxKFm4eO
Karuhembe H/C II,H/C II,Nyakibale Hub   ,Rukungiri,South Western,\N,Karuhembe HC II,KPpGdhcZvNE,r2JdrCIjD3u
Buteza H/C III,H/C III,Budadiri Hub     ,Sironko,Mid Eastern,\N,Buteza HC III,aURmSknLg9S,R6Hl3GFExXa
Lulamba H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,\N,Lulamba HC III,K3E78Mqdg2A,yuChCbQHBqx
Mugoye H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,aeWNPmn3Zrf,Mugoye HC III,aeWNPmn3Zrf,VNkN5dRO92P
Bubeke H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,\N,Bubeke HC III,ADhJXGIcCND,duVNCQ2YuUJ
Tirinyi H/C III,H/C III,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Tirinyi HC III,fskZDKnPGaA,zMlT7RagLb3
